	dataset	num_topics	label_type	score	distributions
0	Thunderbird-within	4	multiclass	0.0012285012285012285	[0.0014705882352941176, 0.0010548523206751054]
1	Thunderbird-within	4	binary	0.0018231540565177757	[0.0018231540565177757]
2	Thunderbird-within	4	unsupervised	0.002036659877800407	[0.002036659877800407]
3	Thunderbird-within	8	multiclass	0.00245398773006135	[0.0012578616352201257, 0.05]
4	Thunderbird-within	8	binary	0.0024009603841536613	[0.0024009603841536613]
5	Thunderbird-within	8	unsupervised	0.002257336343115124	[0.002257336343115124]
6	Thunderbird-within	16	multiclass	0.002551020408163265	[0.00130718954248366, 0.05263157894736842]
7	Thunderbird-within	16	binary	0.0025380710659898475	[0.0012987012987012987, 0.05555555555555555]
8	Thunderbird-within	16	unsupervised	0.002512562814070352	[0.002512562814070352]
9	Thunderbird-within	32	multiclass	0.003076923076923077	[0.0015600624024961, 0.1111111111111111]
10	Thunderbird-within	32	binary	0.0028776978417266188	[0.001455604075691412, 0.125]
11	Thunderbird-within	32	unsupervised	0.0032102728731942215	[0.0016835016835016834, 0.034482758620689655]
12	BGL-within	4	multiclass	0.035416666666666666	[0.4, 0.046357615894039736, 0.1388888888888889, 0.0625]
13	BGL-within	4	binary	0.04663393830745555	[0.4, 0.07567567567567568, 0.025]
14	BGL-within	4	unsupervised	0.035416666666666666	[0.4, 0.03723404255319149, 0.5454545454545454, 0.05555555555555555]
15	BGL-within	8	multiclass	0.03453538437380982	[0.4, 0.039735099337748346, 0.75, 0.06818181818181818, 0.375]
16	BGL-within	8	binary	0.0343732464190032	[0.4, 0.014814814814814815, 0.5, 0.4782608695652174, 0.020833333333333332]
17	BGL-within	8	unsupervised	0.034699059181268636	[0.4, 0.04216867469879518, 0.6, 0.5, 0.06896551724137931]
18	BGL-within	16	multiclass	0.04731293325890077	[0.4, 0.016666666666666666, 0.6, 0.06, 0.45454545454545453, 0.375]
19	BGL-within	16	binary	0.04388059551330708	[0.4, 0.01639344262295082, 1.0, 0.022222222222222223, 0.5, 0.45454545454545453, 0.3333333333333333]
20	BGL-within	16	unsupervised	0.07041304861437649	[0.4, 0.6, 0.041666666666666664, 0.45454545454545453, 0.0625, 0.5, 0.3333333333333333]
21	BGL-within	32	multiclass	0.07559192785042768	[0.4, 0.6, 0.45454545454545453, 0.0625, 0.375, 0.1]
22	BGL-within	32	binary	0.07569402726045471	[0.4, 0.1111111111111111, 0.4, 0.6, 0.1111111111111111, 0.2, 1.0]
23	BGL-within	32	unsupervised	0.0796779234320576	[0.4, 0.6, 0.45454545454545453, 0.058823529411764705, 0.5, 0.08333333333333333, 0.3333333333333333]
24	Thunderbird-BGL-cross	4	multiclass	0.05351170568561873	[0.03343465045592705, 0.14832535885167464]
25	Thunderbird-BGL-cross	4	binary	0.0337057631290261	[0.029197080291970802, 0.14042553191489363, 0.75]
26	Thunderbird-BGL-cross	4	unsupervised	0.033733921661297635	[0.03423236514522822, 0.12608695652173912, 0.6666666666666666]
27	Thunderbird-BGL-cross	8	multiclass	0.026733500417710943	[0.037075180226570546, 0.11818181818181818, 0.2, 1.0]
28	Thunderbird-BGL-cross	8	binary	0.023046237221318693	[0.026815642458100558, 0.11235955056179775, 0.1346153846153846, 0.3333333333333333, 1.0]
29	Thunderbird-BGL-cross	8	unsupervised	0.03393235649459939	[0.031794871794871796, 0.1523809523809524, 0.2]
30	Thunderbird-BGL-cross	16	multiclass	0.02314298884693296	[0.023446658851113716, 0.1134020618556701, 0.125, 0.26666666666666666, 0.5]
31	Thunderbird-BGL-cross	16	binary	0.020788060170453957	[0.02367531003382187, 0.21428571428571427, 0.12393162393162394, 0.13725490196078433, 1.0, 0.75]
32	Thunderbird-BGL-cross	16	unsupervised	0.02080552912858039	[0.023474178403755867, 0.11688311688311688, 0.125, 0.3333333333333333, 0.1875, 0.5]
33	Thunderbird-BGL-cross	32	multiclass	0.016135611157868338	[0.018867924528301886, 0.03333333333333333, 0.14009661835748793, 0.25, 0.4, 0.07692307692307693, 0.3333333333333333, 0.45454545454545453, 0.5, 1.0]
34	Thunderbird-BGL-cross	32	binary	0.017912118667786175	[0.015486725663716814, 0.15104166666666666, 0.14545454545454545, 0.3333333333333333, 1.0, 0.21428571428571427, 0.25, 0.75]
35	Thunderbird-BGL-cross	32	unsupervised	0.0150525704229952	[0.013110846245530394, 0.05434782608695652, 0.1377551020408163, 0.45454545454545453, 0.5, 1.0, 0.2, 0.14285714285714285, 0.5, 0.6666666666666666, 1.0, 0.5]
36	BGL-Thunderbird-cross	4	multiclass	0.0013295152382900388	[0.0016242555495397943, 0.0009440641963653528]
37	BGL-Thunderbird-cross	4	binary	0.001306138852607254	[0.0014375326711970726, 0.000869187309865276]
38	BGL-Thunderbird-cross	4	unsupervised	0.0016977928692699495	[0.001752988047808765, 0.001447178002894356]
39	BGL-Thunderbird-cross	8	multiclass	0.0008370330438237521	[0.001724435247456458, 0.0007132667617689016, 0.0008361204013377926]
40	BGL-Thunderbird-cross	8	binary	0.0015687220948473514	[0.0014727540500736377, 0.0015875306682060903]
41	BGL-Thunderbird-cross	8	unsupervised	0.0016019716574245224	[0.001516300227445034, 0.001973684210526316]
42	BGL-Thunderbird-cross	16	multiclass	0.0009521809608113472	[0.0016414371694327922, 0.0006548788474132286, 0.025974025974025976]
43	BGL-Thunderbird-cross	16	binary	0.0010273154805146474	[0.0012737230925996689, 0.02564102564102564, 0.01818181818181818]
44	BGL-Thunderbird-cross	16	unsupervised	0.001257217473394995	[0.0013056960992329036, 0.012738853503184714, 0.0125]
45	BGL-Thunderbird-cross	32	multiclass	0.0009486568119857676	[0.001792435920415845, 0.000662471016893011, 0.020833333333333332]
46	BGL-Thunderbird-cross	32	binary	0.0010634107087292813	[0.0012486126526082132, 0.0044742729306487695, 0.034482758620689655]
47	BGL-Thunderbird-cross	32	unsupervised	0.0014463210714916147	[0.0020419528494523853, 0.004464285714285714, 0.016666666666666666]
48	all	4	multiclass	0.00888529886914378	[0.007806276883861717, 0.011720385098367517]
49	all	4	binary	0.008259144052343665	[0.008739255014326647, 0.006828851899274435]
50	all	4	unsupervised	0.005223826991935723	[0.0056179775280898875, 0.00875430539609644, 0.16666666666666666]
51	all	8	multiclass	0.0055074924640066	[0.005881391929423297, 0.015330188679245283, 0.01282051282051282]
52	all	8	binary	0.009264829743713152	[0.011697806661251016, 0.002319109461966605]
53	all	8	unsupervised	0.005647052310240872	[0.002959830866807611, 0.010771704180064309, 0.16666666666666666]
54	all	16	multiclass	0.004761315854563444	[0.004990757855822551, 0.015617374328940947, 0.0214168039538715, 0.25]
55	all	16	binary	0.0047025772566263585	[0.008985398727068513, 0.006947660954145438, 0.019402985074626865, 0.0625]
56	all	16	unsupervised	0.0034896516116517924	[0.008362757851700427, 0.0033305578684429643, 0.011075949367088608, 0.05357142857142857, 0.23404255319148937, 0.16666666666666666]
57	all	32	multiclass	0.0032357526991476106	[0.0038803926044282126, 0.030848329048843187, 0.014107883817427386, 0.014084507042253521, 0.024390243902439025, 0.01020408163265306, 0.022727272727272728, 0.3333333333333333, 0.25]
58	all	32	binary	0.0037931065422925885	[0.006459054209919262, 0.011469838572642312, 0.014705882352941176, 0.027237354085603113, 0.024691358024691357, 0.010869565217391304, 0.25]
59	all	32	unsupervised	0.0027239831090852245	[0.006208323752586802, 0.019390581717451522, 0.002197802197802198, 0.01312910284463895, 0.024390243902439025, 0.04918032786885246, 0.012195121951219513, 0.10256410256410256, 0.018518518518518517, 0.35294117647058826, 0.3055555555555556, 0.16666666666666666]
